"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch";"Zmierzch.Zycie i Smierc"
"pokazując";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokazywać";2;2;1;1;2;0;0;2;0;1;3;0;0;0;0;0;1;0;0;0
"pokątny";0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokład";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"pokojówka";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"pokolenie";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokonać";0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokonywać";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"pokój";9;7;1;3;3;2;1;2;0;0;1;1;0;0;0;0;1;1;0;0
"pokryć";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokuta";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"polana";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"polanka";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"polą";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"pole";1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
"polecenie";2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"polecieć";0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"polegać";2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"policja";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"polować";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
"polowanie";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0
"połączenie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"połączyć";1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"połknąć";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"połowa";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"położenie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"położyć";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"południe";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"południu";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"połykać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomagać";0;4;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0
"pomagając";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"pomęczyć";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomfreypodaje";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomieszczenie";3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"pomiędzy";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
"pomimo";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"pomoc";4;8;0;4;2;5;2;1;0;5;3;0;2;0;0;2;3;1;0;0
"pomóc";4;2;0;0;0;3;0;2;0;0;1;1;3;0;0;0;0;0;0;0
"pomścić";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"pomyłka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"pomysł";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomyśleć";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomyślny";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"poniekąd";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"poniesionej";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poniżać";1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"poniżej";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poniżyć";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"ponosić";0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
"ponowny";2;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1
"ponury";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"popadać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"popełnić";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"popiół";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"popłynąć";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"poprosić";1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"poprowadzić";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"poprzedni";0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
"popychając";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pora";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"poranek";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poranić";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"porastać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porażka";0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"porcelanowy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poręczyć";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porośniętą";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"porozmawiać";2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"poród";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"porównać";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"porsche";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"port";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"portal";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"portret";0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"poruszać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"poruszyć";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porwać";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"porwanie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"porywać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"porządek";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"porządku";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porzucać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"porzucić";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"posada";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"posąg";1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
"posiadać";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"posiłek";1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"posiłki";0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
"poskramiać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"posłać";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"posłaniec";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"posłuchać";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"posługiwać";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"postać";5;2;0;0;0;3;2;1;0;1;0;0;2;0;0;0;0;1;0;0
"postanawiać";8;5;0;1;2;9;2;1;1;3;4;0;0;0;0;5;0;2;2;0
"postanowić";1;0;4;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"poszedł";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"poszli";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poszła";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poszło";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poszukać";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poszukiwać";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"poszukiwanie";0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"poszukiwany";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pościg";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0
"poślubić";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pośpiech";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pośpieszny";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pośrodku";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pośród";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poświęcić";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"potajemny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"potem";2;1;7;0;0;0;1;1;1;7;7;0;0;1;0;0;0;0;2;0
"potencjalny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potęga";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potężniejszy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potężny";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"potopić";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"potrafić";2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"potraktować";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potraw";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"potrawa";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"potrwać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potrzebny";3;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"potrzebować";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"potter";1;1;2;1;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pottera";2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potterów";0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"potterwarty";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potterze";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"potwierdzić";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"potwora";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"potworny";1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"potwór";0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"potykać";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"poufały";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poważniejszy";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"poważny";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powątpiewać";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powędrować";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"powiadomić";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powiedzieć";2;2;11;6;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1
"powierzać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"powierzchnia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powiesić";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powieść";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
"powietrze";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"powiększyć";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powinien";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powinno";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powinny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"powitalny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powitanie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powodować";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powodzenie";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powoli";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"powolny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"powód";1;0;1;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0
"powóz";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powracać";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powrotem";2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"powrotny";2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"powrócić";0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0
"powróciwszy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"powrót";4;2;0;3;0;6;0;1;0;0;0;0;0;0;0;1;0;0;1;1
"powstały";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"powstanie";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"powstrzymać";2;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"powstrzymywać";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozabijać";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozbawić";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"pozbywać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozmieniać";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poznać";0;0;0;1;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0
"poznawać";3;3;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0
"pozorny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"pozostać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"pozostałość";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"pozostały";5;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0
"pozostawać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
"pozostawiać";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"pozór";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozwalać";0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
"pozwolenie";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozwolić";1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"pozycja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pozyskać";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pożar";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pożegnać";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"pożoga";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pożreć";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pożyczyć";2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pójść";1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"póki";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"półkrwi";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"północ";4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
"półolbrzym";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"półwampirpółczłowiek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"później";9;2;3;3;0;1;1;0;1;0;3;0;1;0;0;0;1;0;1;1
"późniejszy";0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"późno";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"praca";1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prace";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pracodawca";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pracować";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pracownica";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pracownik";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pragnąć";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"pragnienia";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pragnieniu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"pranga";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"prawa";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prawda";0;1;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;2
"prawdopodobny";1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"prawdziwy";1;2;0;3;2;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0
"prawie";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"prawo";0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;1;0;0;0
"prawy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prąd";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"prefekt";2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"preferencja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"premiera";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pretensja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pretensjonata";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"prezent";0;0;2;0;0;1;3;0;0;0;1;0;1;0;0;1;0;0;0;0
"prezentować";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prezydialny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prędkość";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"priori";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"privet";1;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"problem";3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"produkt";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"profesor";11;3;1;0;3;2;9;2;0;0;5;1;0;0;0;0;0;0;0;0
"promień";2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"proponować";1;1;0;0;1;0;1;0;0;2;5;0;0;0;0;1;0;0;0;0
"proroczy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prorok";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prosić";12;5;0;1;3;1;0;0;0;0;0;0;2;0;0;1;0;1;0;0
"prosto";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"prostu";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"prosty";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prosząc";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"proszek";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prośba";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"protestować";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"protokół";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prowadzić";4;1;2;1;2;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0
"prowincjonalny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"prowokując";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"próba";2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"próbować";6;2;2;1;3;4;3;3;0;1;1;0;1;0;1;0;0;0;0;0
"prócz";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"próg";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prymus";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prywatność";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"prywatny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przebaczać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"przebicie";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przebieg";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przebity";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przebrać";0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"przebywać";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"przechadzając";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"przechodząc";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"przechodzić";0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
"przechować";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przechyla";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"przechylać";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"przecież";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"przecinać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"przeciw";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"przeciwieństwo";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"przeciwko";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"przeciwnik";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przeciwny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"przeczący";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przeczesać";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przeddzień";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedłużać";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedmiot";0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"przedni";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"przedostatni";0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"przedramię";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedstawiać";1;2;0;0;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0
"przedstawiciel";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedstawić";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedstawiwszy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedtem";3;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"przedział";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przegłosować";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"przegrać";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"przegrana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"przegrywać";0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"przegryzać";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
